"country","total_cases","total_deaths","mortality_rate"
"World","715697182101","8009960985","1.12"
"High-income countries","393562796886","3303895414","0.84"
"Asia","252167317226","1790404880","0.71"
"Europe","236756684151","2361106039","1"
"Upper-middle-income countries","218037426784","3265564653","1.5"
"European Union (27)","171330559623","1427055363","0.83"
"North America","127073670231","1880636077","1.48"
"United States","105914483457","1302221334","1.23"
"Lower-middle-income countries","100873065026","1385814325","1.37"
"South America","73484570403","1646924372","2.24"
"China","59789650705","79278696","0.13"
"India","52079485202","636656068","1.22"
"Brazil","40274470410","845533502","2.1"
"France","35276866268","197522787","0.56"
"Germany","33383624547","190391817","0.57"
"South Korea","25657640953","29376266","0.11"
"United Kingdom","24768373218","277603206","1.12"
"Japan","24572158686","60353535","0.25"
"Italy","23516696786","226781854","0.96"
"Russia","22717049874","430102745","1.89"
"Turkey","17595151920","114536586","0.65"
"Africa","14616886098","306955815","2.1"
"Spain","14292242359","149531749","1.05"
"Oceania","11598053992","23933802","0.21"
"Argentina","10812079692","161350498","1.49"
"Vietnam","10248819451","43284117","0.42"
"Australia","9324106040","18034759","0.19"
"Iran","8497242171","175336887","2.06"
"Netherlands","8470265208","29685633","0.35"
"Mexico","7898943675","421274105","5.33"
"Colombia","7459792950","173349663","2.32"
"Indonesia","7173893604","183035743","2.55"
"Poland","7008760719","137161833","1.96"
"Ukraine","5831855363","120261427","2.06"
"Austria","5308511352","25176950","0.47"
"Portugal","5275549212","31122683","0.59"
"Chile","5071673512","69873310","1.38"
"Malaysia","5022590588","38732392","0.77"
"Czechia","4853321180","50455402","1.04"
"Peru","4798383499","283137819","5.9"
"Belgium","4751573368","43290916","0.91"
"South Africa","4691316718","123711549","2.64"
"Israel","4690246037","14041253","0.3"
"Greece","4684036377","37489440","0.8"
"Canada","4665470344","57278070","1.23"
"Thailand","4528880357","33256722","0.73"
"Philippines","4391958517","71443995","1.63"
"Switzerland","4174014301","17407231","0.42"
"Romania","3532839734","76882485","2.18"
"Denmark","3189166514","8572618","0.27"
"Sweden","2870333251","28404300","0.99"
"Iraq","2866612600","32083884","1.12"
"Serbia","2537274167","19115639","0.75"
"Bangladesh","2354357374","35158810","1.49"
"Hungary","2273887439","55158506","2.43"
"Low-income countries","2161458124","50805016","2.35"
"Singapore","2117561745","1674891","0.08"
"Pakistan","1884393752","37897009","2.01"
"Jordan","1882412756","16659044","0.88"
"Slovakia","1855857206","23592103","1.27"
"Georgia","1848108631","18365088","0.99"
"New Zealand","1820980916","2438814","0.13"
"Ireland","1682470680","10364137","0.62"
"Kazakhstan","1632354780","21854725","1.34"
"Morocco","1454640647","19800811","1.36"
"Norway","1411704339","4800837","0.34"
"Bulgaria","1351327259","42517430","3.15"
"Lebanon","1327975384","12754307","0.96"
"Finland","1315927764","8563226","0.65"
"Croatia","1308075128","19492829","1.49"
"Lithuania","1295043016","10598164","0.82"
"Slovenia","1261712371","10271320","0.81"
"Tunisia","1233087680","33612483","2.73"
"Bolivia","1220940503","27792304","2.28"
"Guatemala","1216081464","22689871","1.87"
"Costa Rica","1208420282","10401369","0.86"
"United Arab Emirates","1197317960","2924891","0.24"
"Cuba","1194102200","9292322","0.78"
"Nepal","1166084850","14275973","1.22"
"Ecuador","1129532178","44808267","3.97"
"Belarus","1100835696","7985375","0.73"
"Panama","1089572142","10843012","1"
"Puerto Rico","1066325876","6211102","0.58"
"Uruguay","1028742111","8530455","0.83"
"Saudi Arabia","1005122733","12612341","1.25"
"Mongolia","1005076439","2260525","0.22"
"Azerbaijan","918519664","11514202","1.25"
"Latvia","910524179","7591821","0.83"
"Paraguay","803025772","22443911","2.79"
"Palestine","780961161","6745812","0.86"
"Kuwait","753310139","3235121","0.43"
"Sri Lanka","738068457","17886269","2.42"
"Dominican Republic","737424053","5841089","0.79"
"Bahrain","712153087","1849571","0.26"
"Myanmar","701872757","21898862","3.12"
"Moldova","663306072","13923422","2.1"
"Venezuela","622580724","6711975","1.08"
"Egypt","597657337","29913871","5.01"
"Cyprus","597523424","1340166","0.22"
"Estonia","595256509","3041614","0.51"
"Ethiopia","576867536","8901249","1.54"
"Libya","567271215","7449390","1.31"
"Qatar","543978921","864973","0.16"
"Honduras","543796642","13403430","2.46"
"Armenia","515749237","10181877","1.97"
"Oman","477196210","5679850","1.19"
"Bosnia and Herzegovina","453575791","18695486","4.12"
"Reunion","441518696","901380","0.2"
"Kenya","396818156","6828974","1.72"
"North Macedonia","381198503","11611680","3.05"
"Zambia","373633130","4706341","1.26"
"Albania","355635062","4320183","1.21"
"Luxembourg","351498408","1107840","0.32"
"Botswana","342089337","3108561","0.91"
"Nigeria","324553353","4011026","1.24"
"Algeria","321430718","8409268","2.62"
"Kosovo","292633052","3950526","1.35"
"Zimbabwe","276100322","6380213","2.31"
"Mauritius","270056038","1012335","0.37"
"Montenegro","264785851","3036965","1.15"
"Mozambique","256098263","2557805","1"
"Afghanistan","245988981","9482547","3.85"
"Brunei","245025520","144064","0.06"
"El Salvador","216443932","5054695","2.34"
"Martinique","206231737","1099516","0.53"
"Ghana","205995995","1723658","0.84"
"Laos","204029128","638329","0.31"
"Maldives","194933162","357806","0.18"
"Namibia","192449394","4577838","2.38"
"Uganda","191464248","4055323","2.12"
"Guadeloupe","187988462","1103724","0.59"
"Iceland","187751042","162936","0.09"
"Trinidad and Tobago","181161698","4314857","2.38"
