"country","total_deaths","total_cases","mortality_rate"
"Yemen","2616582","13973284","18.73"
"Sudan","5767803","75735729","7.62"
"Peru","283137819","4798383499","5.9"
"Syria","3675930","64496546","5.7"
"Mexico","421274105","7898943675","5.33"
"Egypt","29913871","597657337","5.01"
"Somalia","1591866","31807229","5"
"Bosnia and Herzegovina","18695486","453575791","4.12"
"Liberia","363489","9139185","3.98"
"Ecuador","44808267","1129532178","3.97"
"Afghanistan","9482547","245988981","3.85"
"Niger","390866","11174056","3.5"
"Bulgaria","42517430","1351327259","3.15"
"Myanmar","21898862","701872757","3.12"
"Malawi","3103245","100075789","3.1"
"North Macedonia","11611680","381198503","3.05"
"Gambia","444858","14897504","2.99"
"Chad","262092","9132587","2.87"
"Paraguay","22443911","803025772","2.79"
"Tunisia","33612483","1233087680","2.73"
"South Africa","123711549","4691316718","2.64"
"Algeria","8409268","321430718","2.62"
"Indonesia","183035743","7173893604","2.55"
"Haiti","1011506","39704793","2.55"
"Mali","906200","36180956","2.5"
"Honduras","13403430","543796642","2.46"
"Hungary","55158506","2273887439","2.43"
"Sri Lanka","17886269","738068457","2.42"
"Trinidad and Tobago","4314857","181161698","2.38"
"Namibia","4577838","192449394","2.38"
"Low-income countries","50805016","2161458124","2.35"
"El Salvador","5054695","216443932","2.34"
"Colombia","173349663","7459792950","2.32"
"Zimbabwe","6380213","276100322","2.31"
"Senegal","2391736","105109281","2.28"
"Bolivia","27792304","1220940503","2.28"
"Jamaica","3667782","162293596","2.26"
"Bahamas","928279","41028740","2.26"
"South America","1646924372","73484570403","2.24"
"Cambodia","3306720","150470493","2.2"
"Romania","76882485","3532839734","2.18"
"Lesotho","822789","38259127","2.15"
"Tanzania","906765","42491573","2.13"
"Uganda","4055323","191464248","2.12"
"Moldova","13923422","663306072","2.1"
"Brazil","845533502","40274470410","2.1"
"Africa","306955815","14616886098","2.1"
"Comoros","202313","9766017","2.07"
"Ukraine","120261427","5831855363","2.06"
"Madagascar","1633870","79183757","2.06"
"Iran","175336887","8497242171","2.06"
"Eswatini","1667378","81278870","2.05"
"Pakistan","37897009","1884393752","2.01"
"Armenia","10181877","515749237","1.97"
"Poland","137161833","7008760719","1.96"
"Angola","2219488","114441477","1.94"
"Guinea-Bissau","204752","10695842","1.91"
"Russia","430102745","22717049874","1.89"
"Guyana","1409632","74949866","1.88"
"Guatemala","22689871","1216081464","1.87"
"Nicaragua","325885","18282538","1.78"
"Suriname","1522968","86293234","1.76"
"Sierra Leone","170078","9637858","1.76"
"Mauritania","1221370","69834153","1.75"
"Burkina Faso","449478","25855702","1.74"
"Antigua and Barbuda","154832","8957640","1.73"
"Kenya","6828974","396818156","1.72"
"Democratic Republic of Congo","1788259","107581669","1.66"
"Philippines","71443995","4391958517","1.63"
"Cameroon","2377676","147987814","1.61"
"Congo","450748","29060905","1.55"
"Ethiopia","8901249","576867536","1.54"
"Upper-middle-income countries","3265564653","218037426784","1.5"
"Croatia","19492829","1308075128","1.49"
"Bangladesh","35158810","2354357374","1.49"
"Argentina","161350498","10812079692","1.49"
"North America","1880636077","127073670231","1.48"
"Saint Lucia","418107","29380806","1.42"
"Papua New Guinea","695196","49020061","1.42"
"Chile","69873310","5071673512","1.38"
"Lower-middle-income countries","1385814325","100873065026","1.37"
"Morocco","19800811","1454640647","1.36"
"Kosovo","3950526","292633052","1.35"
"Kazakhstan","21854725","1632354780","1.34"
"Grenada","240023","18191399","1.32"
"Libya","7449390","567271215","1.31"
"Slovakia","23592103","1855857206","1.27"
"Sao Tome and Principe","90485","7150320","1.27"
"Fiji","918130","72061702","1.27"
"Zambia","4706341","373633130","1.26"
"Saudi Arabia","12612341","1005122733","1.25"
"Azerbaijan","11514202","918519664","1.25"
"Nigeria","4011026","324553353","1.24"
"United States","1302221334","105914483457","1.23"
"Canada","57278070","4665470344","1.23"
"Saint Vincent and the Grenadines","120104","9811249","1.22"
"Nepal","14275973","1166084850","1.22"
"India","636656068","52079485202","1.22"
"Djibouti","240275","19830359","1.21"
"Albania","4320183","355635062","1.21"
"Oman","5679850","477196210","1.19"
"Kyrgyzstan","1074173","92963301","1.16"
"Montenegro","3036965","264785851","1.15"
"Equatorial Guinea","233325","20268816","1.15"
"Rwanda","1644536","145645603","1.13"
"Guinea","529269","46803066","1.13"
"World","8009960985","715697182101","1.12"
"United Kingdom","277603206","24768373218","1.12"
"Iraq","32083884","2866612600","1.12"
"Belize","790792","70481110","1.12"
"Venezuela","6711975","622580724","1.08"
"Spain","149531749","14292242359","1.05"
"Czechia","50455402","4853321180","1.04"
"Panama","10843012","1089572142","1"
"Mozambique","2557805","256098263","1"
"Europe","2361106039","236756684151","1"
"Sweden","28404300","2870333251","0.99"
"Georgia","18365088","1848108631","0.99"
"Lebanon","12754307","1327975384","0.96"
"Italy","226781854","23516696786","0.96"
"Sint Maarten (Dutch part)","105022","11332270","0.93"
"Eritrea","106685","11433902","0.93"
"Bermuda","163391","17579130","0.93"
"Cote d'Ivoire","944498","103139690","0.92"
"British Virgin Islands","65850","7225789","0.91"
"Botswana","3108561","342089337","0.91"
"Belgium","43290916","4751573368","0.91"
"Guam","445185","49529225","0.9"
"Jordan","16659044","1882412756","0.88"
"French Polynesia","728384","82952177","0.88"
"South Sudan","184926","21508669","0.86"
"Palestine","6745812","780961161","0.86"
"Costa Rica","10401369","1208420282","0.86"
"High-income countries","3303895414","393562796886","0.84"
"Ghana","1723658","205995995","0.84"
"Uruguay","8530455","1028742111","0.83"
"Latvia","7591821","910524179","0.83"
"European Union (27)","1427055363","171330559623","0.83"
"Lithuania","10598164","1295043016","0.82"
"Slovenia","10271320","1261712371","0.81"
"Malta","945740","117669365","0.8"
"Greece","37489440","4684036377","0.8"
"Central African Republic","150648","18917072","0.8"
"Dominican Republic","5841089","737424053","0.79"
"Togo","334414","42911177","0.78"
"Cuba","9292322","1194102200","0.78"
"Malaysia","38732392","5022590588","0.77"
"Solomon Islands","149656","19794878","0.76"
"Serbia","19115639","2537274167","0.75"
"Thailand","33256722","4528880357","0.73"
"Belarus","7985375","1100835696","0.73"
"Tajikistan","172969","24357815","0.71"
"Saint Kitts and Nevis","44944","6352002","0.71"
"Asia","1790404880","252167317226","0.71"
"Cape Verde","494211","70327478","0.7"
"San Marino","157850","22914109","0.69"
"Curacao","316089","46595589","0.68"
"Gibraltar","136291","20400875","0.67"
"Aruba","295867","44492474","0.66"
"Turkey","114536586","17595151920","0.65"
"Finland","8563226","1315927764","0.65"
"Benin","202043","31175131","0.65"
"Montserrat","7246","1130020","0.64"
"Gabon","358686","56580610","0.63"
"Ireland","10364137","1682470680","0.62"
"Uzbekistan","1061292","174386139","0.61"
"Turks and Caicos Islands","43041","7063050","0.61"
"Portugal","31122683","5275549212","0.59"
"Guadeloupe","1103724","187988462","0.59"
"United States Virgin Islands","138214","23650662","0.58"
"Puerto Rico","6211102","1066325876","0.58"
"Germany","190391817","33383624547","0.57"
"East Timor","145220","25406762","0.57"
"Barbados","535680","94625816","0.57"
"France","197522787","35276866268","0.56"
"Mayotte","242541","45751019","0.53"
"Martinique","1099516","206231737","0.53"
"Liechtenstein","103297","19991699","0.52"
"Estonia","3041614","595256509","0.51"
"Dominica","70221","14792550","0.47"
"Austria","25176950","5308511352","0.47"
"New Caledonia","318807","69936978","0.46"
"Monaco","71194","15551763","0.46"
"French Guiana","460068","100523548","0.46"
"Saint Martin (French part)","53666","12099420","0.44"
"Kuwait","3235121","753310139","0.43"
"Kiribati","17195","3985166","0.43"
"Vietnam","43284117","10248819451","0.42"
"Switzerland","17407231","4174014301","0.42"
"Andorra","207828","49036941","0.42"
"American Samoa","28209","6894077","0.41"
"Bonaire Sint Eustatius and Saba","41978","11062262","0.38"
"Mauritius","1012335","270056038","0.37"
"Seychelles","182564","50550187","0.36"
"Isle of Man","129483","35658250","0.36"
"Netherlands","29685633","8470265208","0.35"
"Norway","4800837","1411704339","0.34"
"Wallis and Futuna","8724","2628550","0.33"
"Luxembourg","1107840","351498408","0.32"
"Laos","638329","204029128","0.31"
"Northern Mariana Islands","37862","12457804","0.3"
"Israel","14041253","4690246037","0.3"
"Anguilla","10771","3572140","0.3"
"Jersey","173761","59890918","0.29"
"Denmark","8572618","3189166514","0.27"
"Bahrain","1849571","712153087","0.26"
"Micronesia (country)","43794","17763598","0.25"
"Japan","60353535","24572158686","0.25"
"United Arab Emirates","2924891","1197317960","0.24"
"Mongolia","2260525","1005076439","0.22"
"Guernsey","66364","30258274","0.22"
"Cyprus","1340166","597523424","0.22"
"Oceania","23933802","11598053992","0.21"
"Reunion","901380","441518696","0.2"
"Australia","18034759","9324106040","0.19"
"Samoa","24972","13680980","0.18"
"Maldives","357806","194933162","0.18"
"Greenland","18921","11269560","0.17"
"Qatar","864973","543978921","0.16"
"Palau","7437","5244815","0.14"
"New Zealand","2438814","1820980916","0.13"
"China","79278696","59789650705","0.13"
"Vanuatu","11739","9927890","0.12"
"Cayman Islands","32706","28060774","0.12"
"South Korea","29376266","25657640953","0.11"
"Marshall Islands","12162","11360511","0.11"
"Saint Barthelemy","5143","5291270","0.1"
"Iceland","162936","187751042","0.09"
"Tonga","10218","13613132","0.08"
"Singapore","1674891","2117561745","0.08"
"Faroe Islands","26950","32391024","0.08"
"Brunei","144064","245025520","0.06"
"Saint Pierre and Miquelon","1521","2897618","0.05"
"Burundi","17515","51054980","0.03"
"Bhutan","18963","54379267","0.03"
"Tuvalu","414","1810966","0.02"
"Nauru","764","3945644","0.02"
"Cook Islands","1381","5782940","0.02"
"Western Sahara","0","0","0"
"Wales","0","0","0"
"Vatican","0","38344","0"
"Turkmenistan","0","0","0"
"Tokelau","0","32406","0"
"Taiwan","0","0","0"
"Scotland","0","0","0"
"Saint Helena","0","1462156","0"
"Pitcairn","0","2972","0"
"Northern Ireland","0","0","0"
"Northern Cyprus","0","0","0"
"North Korea","0","0","0"
"Niue","0","540564","0"
"Macao","0","0","0"
"Hong Kong","0","0","0"
"Falkland Islands","0","1582404","0"
"England","0","0","0"
